,animal_id,animal_name,experiment_id,sex,gene,age,plane_of_section,treatment
436,77466884,321-0245,78595708,Male,Ndnf,56.0,coronal,ISH
437,77466884,321-0245,78591304,Male,Zeb2,56.0,coronal,ISH
438,77466884,321-0245,78591294,Male,Zeb2,56.0,coronal,ISH
439,77466880,321-0244,78592030,Male,Nnat,56.0,coronal,ISH
440,77466880,321-0244,78591686,Male,Rorb,56.0,coronal,ISH
441,77551304,321-0190,77764957,Female,Gal,56.0,coronal,ISH
442,702872,2438,2347,Male,Kdr,56.0,coronal,ISH
443,77551304,321-0190,77766025,Female,Npy1r,56.0,coronal,ISH
444,702592,2057,2387,Male,Lsp1,56.0,coronal,ISH
445,77466868,321-0241,78523270,Male,Wfs1,56.0,coronal,ISH
446,77466876,321-0243,78557713,Male,Grin2b,56.0,coronal,ISH
447,77466876,321-0243,78556677,Male,Inpp4b,56.0,coronal,ISH
448,77466884,321-0245,78590696,Male,Cap1,56.0,coronal,ISH
449,77537631,321-0204,77766033,Female,Npy1r,56.0,coronal,ISH
450,79355612,335-1133,79591397,Male,Gabrg1,56.0,coronal,ISH
451,77537635,321-0205,77791998,Female,Gabre,56.0,coronal,ISH
452,77537635,321-0205,77851940,Female,Eif2s3x,56.0,coronal,ISH
453,70896947,05-2659,71670723,Male,Krt9,56.0,coronal,ISH
454,71227910,05-2964,72081552,Male,Cdh8,56.0,coronal,ISH
455,702868,2433,2717,Male,Dcaf4,56.0,coronal,ISH
456,24851,04-0014,32578,Male,Scg5,56.0,coronal,ISH
457,72348,04-0108,199389,Male,Opn1sw,56.0,coronal,ISH
458,294961,04-0598,67752307,Male,Gbe1,56.0,coronal,ISH
459,702868,2433,2659,Male,Tcf19,56.0,coronal,ISH
460,79355612,335-1133,79591393,Male,Gabrd,56.0,coronal,ISH
461,71083047,05-2839,71920514,Male,Gpr137,56.0,coronal,ISH
462,702872,2438,2625,Male,Slco4a1,56.0,coronal,ISH
463,702822,2385,1766,Male,Ldlr,56.0,coronal,ISH
464,71444837,05-3132,73592541,Male,Dap,56.0,coronal,ISH
465,702865,2430,2153,Male,Dnajb12,56.0,coronal,ISH
466,702864,2429,2637,Male,Stat3,56.0,coronal,ISH
467,702864,2429,2434,Male,Nr2e3,56.0,coronal,ISH
468,702864,2429,2307,Male,Hunk,56.0,coronal,ISH
469,702863,2428,2057,Male,Barx2,56.0,coronal,ISH
470,73620041,05-3683,74511924,Male,Sorl1,56.0,coronal,ISH
471,73573680,05-3644,74511790,Male,Mc3r,56.0,coronal,ISH
472,75749824,06-0677,76115730,Male,Itgb1,56.0,coronal,ISH
473,75195283,06-0496,75826568,Male,Chrna9,56.0,coronal,ISH
474,75064115,06-0432,75551474,Male,P2rx4,56.0,coronal,ISH
475,75063998,06-0431,75551465,Male,Chrna1,56.0,coronal,ISH
476,75037014,06-0401,75147765,Male,Kcnc2,56.0,coronal,ISH
477,74865111,06-0319,75042270,Male,Scara3,56.0,coronal,ISH
478,74865115,06-0320,75043139,Male,Tead1,56.0,coronal,ISH
479,74834150,06-0312,75041575,Male,Dscaml1,56.0,coronal,ISH
480,74834097,06-0308,75041463,Male,Lrrc4,56.0,coronal,ISH
481,74553737,06-0200,74819256,Male,Il13ra1,56.0,coronal,ISH
482,73440263,05-3554,74357571,Male,Rgs5,56.0,coronal,ISH
483,702687,2216,748,Male,Oaz2,56.0,coronal,ISH
484,72963884,05-3491,74272905,Male,Tll1,56.0,coronal,ISH
485,72172807,05-3435,74047912,Male,P3h3,56.0,coronal,ISH
486,72172807,05-3435,74047911,Male,Ifit3,56.0,coronal,ISH
487,71993695,05-3336,73992715,Male,Cd63,56.0,coronal,ISH
488,72672,04-0188,293035,Male,Polr1e,56.0,coronal,ISH
489,104484,04-0348,67755428,Male,Cuedc2,56.0,coronal,ISH
490,702863,2428,2199,Male,Ets1,56.0,coronal,ISH
491,71061925,05-2819,71836844,Male,Atp1a1,56.0,coronal,ISH
492,72962948,05-3490,74272466,Male,Atp9b,56.0,coronal,ISH
493,71101536,05-2863,71924165,Male,Vgf,56.0,coronal,ISH
494,70429673,05-2382,71250306,Male,Sowaha,56.0,coronal,ISH
495,70298629,05-2258,71015377,Male,Ctsz,56.0,coronal,ISH
496,72652,04-0183,276269,Male,3830406C13Rik,56.0,coronal,ISH
497,702689,2218,795,Male,Pfkl,56.0,coronal,ISH
498,70101652,05-2130,70813924,Male,Kctd9,56.0,coronal,ISH
499,72962232,05-3486,74047925,Male,Ank3,56.0,coronal,ISH
500,77281678,07-0022,77371773,Male,Hbb-b2,56.0,coronal,ISH
501,702689,2218,1079,Male,Ttc3,56.0,coronal,ISH
